id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1746_6_Brassimet_Leaves_PAXs_40_Pos_2123	C17H22O9	[M + H]+	Shikimates and Phenylpropanoids	0.8413543105125427	Phenylpropanoids (C6-C3)	0.6007646918296814	Cinnamic acids and derivatives	0.7004863023757935	Phenolic glycosides	0.6893064379692078	Glycosyl compounds	0.9336651563644409	Carbohydrates and carbohydrate conjugates	0.9765262007713318	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
382_6_Brassimet_Leaves_PAXs_15_Pos_3982	C14H16N2O4	[M + H]+	Amino acids and Peptides	0.8677038550376892	Small peptides	0.8162767291069031	Dipeptides	0.9108267426490784	N-acyl-alpha amino acids and derivatives	0.753109872341156	Amino acids and derivatives	0.9939502477645874	Amino acids, peptides, and analogues	0.9942229390144348	Carboxylic acids and derivatives	0.9878756403923035	Organic acids and derivatives	0.9926865100860596	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
631_6_Brassimet_Leaves_PAXs_2_Neg_460	C16H21N4O6PS	[M - H]-	Alkaloids	0.6534810066223145	Nicotinic acid alkaloids	0.7401383519172668	Pyridine alkaloids	0.7518249154090881	Thiamine phosphates	0.86405348777771	Thiamines	0.937997579574585	Pyrimidines and pyrimidine derivatives	0.9796486496925354	Diazines	0.9781218767166138	Organoheterocyclic compounds	0.9958456158638	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Organic oxoanionic compounds; Aminopyrimidines and derivatives; Thiamines; Thiamine phosphates; Diazines; Organic pyrophosphates; Carbonyl compounds; Amines; Primary amines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
764_6_Brassimet_Leaves_PAXs_22_Pos_4523	C16H23N5O6	[M + Na]+	Shikimates and Phenylpropanoids	0.901325523853302	Phenylpropanoids (C6-C3)	0.5433697700500488	Imidazole alkaloids	0.3537665903568268	Coumaric acids and derivatives	0.8481662273406982	Coumaric acids and derivatives	0.8481662273406982	Hydroxycinnamic acids and derivatives	0.9726698398590088	Cinnamic acids and derivatives	0.9969614148139954	Phenylpropanoids and polyketides	0.9999052286148071	Organic compounds; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Guanidines; Cinnamic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Hydropyrimidines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Carboximidamides; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
2382_6_Brassimet_Leaves_PAXs_52_Pos_3306	C11H21N3O7S	[M + Na]+	Amino acids and Peptides	0.9805826544761658	Amino acid glycosides	0.611598789691925	Glucosinolates	0.9585388898849487	Alpha amino acids	0.964327871799469	Amino acids and derivatives	0.938998818397522	Amino acids, peptides, and analogues	0.9353381991386414	Carboxylic acids and derivatives	0.4820716679096222	Organic acids and derivatives	0.9917176961898804	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Monothioacetals; Thioglycosides; Polyols; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1470_6_Brassimet_Leaves_PAXs_36_Pos_923	C18H24O	[M + H]+	Terpenoids	0.9529747366905212	Apocarotenoids	0.23299682140350342	Apocarotenoids (β-)	0.1041848361492157	Prenol lipids	0.8594657182693481					Prenol lipids	0.8594657182693481	Lipids and lipid-like molecules	0.8993176817893982	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Acryloyl compounds; Organooxygen compounds; Enones; Carbonyl compounds; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1494_6_Brassimet_Leaves_PAXs_36_Pos_996	C18H26O2	[M + H]+	Terpenoids	0.9424586892127991	Diterpenoids	0.5358010530471802	Estrane steroids	0.34004920721054077	Lipids and lipid-like molecules	0.7287396192550659							Lipids and lipid-like molecules	0.7287396192550659	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
824_6_Brassimet_Leaves_PAXs_23_Pos_4708	C11H20N4O2	[M + Na]+	Alkaloids	0.1434880793094635	Fatty esters	0.20675016939640045	Wax monoesters	0.1397470384836197	Amino fatty acids	0.5972067713737488	Amino fatty acids	0.5972067713737488	Fatty acids and conjugates	0.5513607859611511	Fatty Acyls	0.27311280369758606	Lipids and lipid-like molecules	0.5042077898979187	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Tetrazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2285_6_Brassimet_Leaves_PAXs_50_Pos_3045	C33H36N4O7	[M + H]+	Alkaloids	0.9657021164894104	Histidine alkaloids	0.5787459015846252	Imidazole alkaloids	0.5483932495117188	Bilirubins	0.9920008182525635			Bilirubins	0.9920008182525635	Tetrapyrroles and derivatives	0.9973998069763184	Organoheterocyclic compounds	0.9999990463256836	Organic compounds; Organoheterocyclic compounds; Pyrroles; Pyrrolines; Epoxides; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Tetrapyrroles and derivatives; Bilirubins; Secondary carboxylic acid amides; Ketimines; Carbonyl compounds; Dialkylamines; Substituted pyrroles; Amines; Secondary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
516_6_Brassimet_Leaves_PAXs_18_Pos_4196	C12H22N2O5S	[M + H]+	Amino acids and Peptides	0.7964120507240295	Small peptides	0.8948713541030884	Dipeptides	0.6979333162307739	N-acyl-alpha amino acids	0.5712264776229858	Amino acids and derivatives	0.9522058367729187	Amino acids, peptides, and analogues	0.9511287212371826	Carboxylic acids and derivatives	0.9869574308395386	Organic acids and derivatives	0.9927787184715271	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Heterocyclic fatty acids; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Sulfenyl compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
