id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1746_6_Brassimet_Leaves_PAXs_40_Pos_2123	C17H22O9	[M + H]+	C17H22O9	Shikimates and Phenylpropanoids	0.8413543105125427	Phenylpropanoids (C6-C3)	0.6007646918296814	Cinnamic acids and derivatives	0.7004863023757935	Phenolic glycosides	0.6893064379692078	Glycosyl compounds	0.9336651563644409	Carbohydrates and carbohydrate conjugates	0.9765262007713318	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
382_6_Brassimet_Leaves_PAXs_15_Pos_3982	C14H16N2O4	[M + H]+	C14H16N2O4	Amino acids and Peptides	0.8677038550376892	Small peptides	0.8162767291069031	Dipeptides	0.9108267426490784	N-acyl-alpha amino acids and derivatives	0.753109872341156	Amino acids and derivatives	0.9939502477645874	Amino acids, peptides, and analogues	0.9942229390144348	Carboxylic acids and derivatives	0.9878756403923035	Organic acids and derivatives	0.9926865100860596	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
631_6_Brassimet_Leaves_PAXs_2_Neg_460	C16H21N4O6PS	[M - H]-	C16H21N4O6PS	Alkaloids	0.6534810066223145	Nicotinic acid alkaloids	0.7401383519172668	Pyridine alkaloids	0.7518249154090881	Thiamine phosphates	0.86405348777771	Thiamines	0.937997579574585	Pyrimidines and pyrimidine derivatives	0.9796486496925354	Diazines	0.9781218767166138	Organoheterocyclic compounds	0.9958456158638	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Organic oxoanionic compounds; Aminopyrimidines and derivatives; Thiamines; Thiamine phosphates; Diazines; Organic pyrophosphates; Carbonyl compounds; Amines; Primary amines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
764_6_Brassimet_Leaves_PAXs_22_Pos_4523	C13H21N7O8	[M + H]+	C13H21N7O8	Shikimates and Phenylpropanoids	0.5821214914321899	Small peptides	0.09814803302288055	Imidazole alkaloids	0.020724475383758545	Methoxyphenols	0.8614637851715088			Methoxyphenols	0.8614637851715088	Phenols	0.40616846084594727	Benzenoids	0.44877344369888306	Organic compounds; Carbohydrates and carbohydrate conjugates; Imines; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Guanidines; Hemiacetals; Monocarboxylic acids and derivatives; Benzene and substituted derivatives; Phenol ethers; Nitramines; Carboximidamides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroguanidines; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
2382_6_Brassimet_Leaves_PAXs_52_Pos_3306	C11H21N3O7S	[M + Na]+	C11H21N3O7S	Amino acids and Peptides	0.9805826544761658	Amino acid glycosides	0.611598789691925	Glucosinolates	0.9585388898849487	Alpha amino acids	0.964327871799469	Amino acids and derivatives	0.938998818397522	Amino acids, peptides, and analogues	0.9353381991386414	Carboxylic acids and derivatives	0.4820716679096222	Organic acids and derivatives	0.9917176961898804	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Thioacetals; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Monothioacetals; Thioglycosides; Polyols; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1470_6_Brassimet_Leaves_PAXs_36_Pos_923	C18H24O	[M + H]+	C18H24O	Terpenoids	0.9529747366905212	Apocarotenoids	0.23299682140350342	Apocarotenoids (β-)	0.1041848361492157	Prenol lipids	0.8594657182693481					Prenol lipids	0.8594657182693481	Lipids and lipid-like molecules	0.8993176817893982	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Acryloyl compounds; Organooxygen compounds; Enones; Carbonyl compounds; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1494_6_Brassimet_Leaves_PAXs_36_Pos_996	C18H26O2	[M + H]+	C18H26O2	Terpenoids	0.9424586892127991	Diterpenoids	0.5358010530471802	Estrane steroids	0.34004920721054077	Lipids and lipid-like molecules	0.7287396192550659							Lipids and lipid-like molecules	0.7287396192550659	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
824_6_Brassimet_Leaves_PAXs_23_Pos_4708	C11H20N4O2	[M + Na]+	C11H20N4O2	Alkaloids	0.1434880793094635	Fatty esters	0.20675016939640045	Wax monoesters	0.1397470384836197	Amino fatty acids	0.5972067713737488	Amino fatty acids	0.5972067713737488	Fatty acids and conjugates	0.5513607859611511	Fatty Acyls	0.27311280369758606	Lipids and lipid-like molecules	0.5042077898979187	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Tetrazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2285_6_Brassimet_Leaves_PAXs_50_Pos_3045	C33H36N4O7	[M + H]+	C33H36N4O7	Alkaloids	0.9657021164894104	Histidine alkaloids	0.5787459015846252	Imidazole alkaloids	0.5483932495117188	Bilirubins	0.9920008182525635			Bilirubins	0.9920008182525635	Tetrapyrroles and derivatives	0.9973998069763184	Organoheterocyclic compounds	0.9999990463256836	Organic compounds; Organoheterocyclic compounds; Pyrroles; Pyrrolines; Epoxides; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Tetrapyrroles and derivatives; Bilirubins; Secondary carboxylic acid amides; Ketimines; Carbonyl compounds; Dialkylamines; Substituted pyrroles; Amines; Secondary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
516_6_Brassimet_Leaves_PAXs_18_Pos_4196	C12H22N2O5S	[M + H]+	C12H22N2O5S	Amino acids and Peptides	0.7964120507240295	Small peptides	0.8948713541030884	Dipeptides	0.6979333162307739	N-acyl-alpha amino acids	0.5712264776229858	Amino acids and derivatives	0.9522058367729187	Amino acids, peptides, and analogues	0.9511287212371826	Carboxylic acids and derivatives	0.9869574308395386	Organic acids and derivatives	0.9927787184715271	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Heterocyclic fatty acids; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Sulfenyl compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
289_6_Brassimet_Leaves_PAXs_14_Pos_3875	C25H40N6O12	[M + H]+	C25H40N6O12	Amino acids and Peptides	0.9987351298332214	Oligopeptides	0.8780141472816467	Linear peptides	0.6564821004867554	Oligopeptides	0.9315547943115234	Peptides	0.990962564945221	Amino acids, peptides, and analogues	0.9940162897109985	Carboxylic acids and derivatives	0.9995877146720886	Organic acids and derivatives	0.9999159574508667	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Delta lactams; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Piperidinones; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Heterocyclic fatty acids; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
57_6_Brassimet_Leaves_PAXs_1_Neg_1426	C22H24N4O9	[M - H]-	C22H24N4O9	Carbohydrates	0.3672437369823456	Nucleosides	0.53911292552948	Pyrimidine nucleos(t)ides	0.16929347813129425	Glycosylamines	0.5273880958557129	Glycosyl compounds	0.8378745317459106	Carbohydrates and carbohydrate conjugates	0.7511382102966309	Organooxygen compounds	0.999995231628418	Organic oxygen compounds	0.9999964237213135	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acids; Diazines; Monosaccharides; Secondary alcohols; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Polyols; Benzenoids; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
585_6_Brassimet_Leaves_PAXs_19_Pos_4284	C34H35N5O14S	[M + H]+	C34H35N5O14S	Amino acids and Peptides	0.9433662295341492	β-lactams	0.8282859325408936	Tripeptides	0.07324414700269699	Cyclic depsipeptides	0.5777294039726257	Cyclic depsipeptides	0.5777294039726257	Depsipeptides	0.5997555255889893	Peptidomimetics	0.1093955934047699	Organic acids and derivatives	0.99998939037323	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Azetidines; Phenols; Beta lactams; Benzoic acids and derivatives; Benzamides; Hippuric acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Thiohemiaminal derivatives; Carbonyl compounds; Depsipeptides; Cyclic depsipeptides; Benzene and substituted derivatives; Alpha amino acid amides; Phenylacetamides; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
263_6_Brassimet_Leaves_PAXs_13_Pos_3846	C12H24O4S	[M + H]+	C12H24O4S	Fatty acids	0.8832134008407593	Fatty Acids and Conjugates	0.7397733330726624	Wax monoesters	0.22040367126464844	Dicarboxylic acids and derivatives	0.5961280465126038			Dicarboxylic acids and derivatives	0.5961280465126038	Carboxylic acids and derivatives	0.9644117951393127	Organic acids and derivatives	0.9860155582427979	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Thioethers; Carboxylic acids; Acetals; Carbonyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
505_6_Brassimet_Leaves_PAXs_18_Pos_4182	C21H18O7	[M + H]+	C21H18O7	Shikimates and Phenylpropanoids	0.9240602850914001	Lignans	0.5257744789123535	Rotenoids	0.6776705980300903	Rotenones	0.7336603403091431	Rotenones	0.7336603403091431	Rotenoids	0.808323860168457	Isoflavonoids	0.3464212417602539	Phenylpropanoids and polyketides	0.539765477180481	Organic compounds; Organoheterocyclic compounds; Lactones; Alkyl aryl ethers; Anisoles; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Rotenoids; Furanones; Phenol ethers; Benzenoids; Rotenones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
260_6_Brassimet_Leaves_PAXs_13_Pos_3843	C18H32N4O5	[M + H]+	C18H32N4O5	Alkaloids	0.31647035479545593	Nucleosides	0.2470279335975647	Dipeptides	0.11991899460554123	N-acyl-alpha amino acids and derivatives	0.5653589367866516	Amino acids and derivatives	0.48127731680870056	Amino acids, peptides, and analogues	0.4734431505203247	Carboxylic acids and derivatives	0.8806909918785095	Organic acids and derivatives	0.9283023476600647	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Acetals; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2227_6_Brassimet_Leaves_PAXs_5_Neg_800	C13H16N3O3P	[M - H]-	C13H16N3O3P	Alkaloids	0.6824413537979126	Nicotinic acid alkaloids	0.4253315031528473	Pyridine alkaloids	0.40604111552238464	Phenoxy compounds	0.5289722084999084			Phenoxy compounds	0.5289722084999084	Benzene and substituted derivatives	0.842249870300293	Benzenoids	0.9036885499954224	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Phosphonic acid esters; Organic phosphonic acids; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
2057_6_Brassimet_Leaves_PAXs_47_Pos_2562	C10H9NO2	[M + H]+	C10H9NO2	Alkaloids	0.9980927109718323	Tryptophan alkaloids	0.9364933371543884	Simple indole alkaloids	0.956272304058075	Indoles	0.9922006726264954			Indoles	0.9922006726264954	Indoles and derivatives	0.9921981692314148	Organoheterocyclic compounds	0.9999979734420776	Organic compounds; Organoheterocyclic compounds; Pyrroles; Alkyl aryl ethers; Anisoles; Indoles and derivatives; Ethers; Organonitrogen compounds; Organooxygen compounds; Phenol ethers; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1297_6_Brassimet_Leaves_PAXs_32_Pos_612	C32H36O18	[M + Na]+	C32H36O18	Shikimates and Phenylpropanoids	0.9928534626960754	Phenylpropanoids (C6-C3)	0.8856980204582214	Cinnamic acids and derivatives	0.8955291509628296	Quinic acids and derivatives	0.9990214109420776	Cyclic alcohols and derivatives	0.9989631175994873	Alcohols and polyols	0.9999552965164185	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alcohols and polyols; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Hydroxy acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Cyclic alcohols and derivatives; Alpha hydroxy acids and derivatives; Hydroxycinnamic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Cyclitols and derivatives; Quinic acids and derivatives; Cyclohexanols; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
2074_6_Brassimet_Leaves_PAXs_47_Pos_1014	C5H11N3O3	[M + K]+	C5H11N3O3	Amino acids and Peptides	0.8544881939888	Small peptides	0.8568115830421448	Aminoacids	0.8644413352012634	Alpha amino acids	0.692808985710144	Amino acids and derivatives	0.9379472136497498	Amino acids, peptides, and analogues	0.9367786049842834	Carboxylic acids and derivatives	0.9271913766860962	Organic acids and derivatives	0.9678469300270081	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Imidazolidinones; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Azolidines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
