rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9995909125372925	-132.844377100083	0.9999999999999999	38.90080681649426	C16H20N2O6S	[M + H]+	CWNIQCOMWQROPA	InChI=1S/C16H20N2O6S/c19-7-11-13(20)14(21)15(22)16(24-11)25-12(18-23)5-8-6-17-10-4-2-1-3-9(8)10/h1-4,6,11,13-17,19-23H,5,7H2	Desulfoglucobrassicin	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SC3C(C(C(C(O3)CO)O)O)O	0.5	9603283;14122903;24892786;71551220;126456434	COCONUT:(CNP0085407);KNApSAcK:(7398);PubChem:(9603283 14122903 24892786 71551220 126456434);CHEBI:(136527 80545);PubChem class - bio and metabolites;KEGG:(C16517);Plantcyc:(CPD-1862);Biocyc:(CPD-1862)	19007794	369.1118	194.491	1480_6_Brassimet_Leaves_PAXs_36_Pos_95
2	1	1	1	0.9984713987189785	-0.7237794104887224	0.9999999999999999	87.61609958896891	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.097	153.014	1316_6_Brassimet_Leaves_PAXs_32_Pos_626
3	1	1	1	0.9980643662412849	-1.655711575423492	0.9999999999999999	48.85131010829709	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.1342	110.903	1474_6_Brassimet_Leaves_PAXs_36_Pos_932
4	1	1	1	0.9975646568386817	-32.3811234062272	0.9999999999999999	54.27263675163201	C15H22N2O4	[M + H]+	ZYERUQAOCQZPJW	InChI=1S/C15H22N2O4/c1-20-12-9-11(10-13(21-2)15(12)19)5-6-14(18)17-8-4-3-7-16/h5-6,9-10,19H,3-4,7-8,16H2,1-2H3,(H,17,18)	null	COC1=CC(=CC(=C1O)OC)C=CC(=O)NCCCCN	1.0	129660870;131751429	COCONUT:(CNP0155452);HMDB:(33464 139646);Natural Products:(UNPD49925);PubChem:(129660870 131751429);SuperNatural:(SN00278032);PubChem class - bio and metabolites	19955722	295.1651	179.716	763_6_Brassimet_Leaves_PAXs_22_Pos_1428
5	1	1	1	0.9921440872994698	-5.721126614574377	0.9999999999999999	71.77477193757963	C14H20N2O3	[M + H]+	SFUVCMKSYKHYLD	InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)	Subaphyllin	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O	1.05422425	10384;5281796;92339985	HMDB:(33463 139553 139638);SuperNatural:(SN00156194 SN00277929);ZINC bio:(ZINC01531868 ZINC08652493);additional;MeSH:(5281796);PubMed;COCONUT:(CNP0104128 CNP0340982);KNApSAcK:(2780);Natural Products:(UNPD219882 UNPD160889);PubChem:(10384 5281796 92339985);CHEBI:(9299);PubChem class - bio and metabolites;KEGG:(C10497);PubChem class - safety and toxic;Training Set	87613822	265.1545	157.909	135_6_Brassimet_Leaves_PAXs_10_Pos_1308
6	1	1	1	0.9912056589503695	-13.231876482992467	0.9999999999999999	35.03884385654058	C13H18N2O2	[M + H]+	CJHDBEPXEKGBDW	InChI=1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)	p-Coumaroylputrescine	C1=CC(=CC=C1C=CC(=O)NCCCCN)O	1.0	133420;6439562;131751428	COCONUT:(CNP0192876);HMDB:(33461 139874);Natural Products:(UNPD126780 UNPD226486);PubChem:(133420 6439562 131751428);SuperNatural:(SN00253918);CHEBI:(70431);PubChem class - bio and metabolites;KEGG:(C18326);PubMed	19956074	235.1447	166.02	1403_6_Brassimet_Leaves_PAXs_34_Pos_1548
7	1	1	1	0.9905963162512875	-1.2717018435600167	0.9999999999999999	50.9654115901565	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.086	86.807	854_6_Brassimet_Leaves_PAXs_24_Pos_481
8	1	1	1	0.9879665764743586	-33.64160788389356	0.9999999999999999	59.844007883077154	C15H22N2O4	[M + H]+	ZYERUQAOCQZPJW	InChI=1S/C15H22N2O4/c1-20-12-9-11(10-13(21-2)15(12)19)5-6-14(18)17-8-4-3-7-16/h5-6,9-10,19H,3-4,7-8,16H2,1-2H3,(H,17,18)	null	COC1=CC(=CC(=C1O)OC)C=CC(=O)NCCCCN	1.0	129660870;131751429	COCONUT:(CNP0155452);HMDB:(33464 139646);Natural Products:(UNPD49925);PubChem:(129660870 131751429);SuperNatural:(SN00278032);PubChem class - bio and metabolites	19955722	295.1652	203.161	1377_6_Brassimet_Leaves_PAXs_34_Pos_675
9	1	1	1	0.9870931365923797	-98.90436288468732	0.9999999999999999	52.70440049277012	C15H19N5O3	[M + H]+	KUCNFTSTXGUFOR	InChI=1S/C15H19N5O3/c16-15(17)18-7-3-6-12(14(22)23)20-13(21)10-8-19-11-5-2-1-4-9(10)11/h1-2,4-5,8,12,19H,3,6-7H2,(H,20,21)(H,22,23)(H4,16,17,18)	null	C1=CC=C2C(=C1)C(=CN2)C(=O)NC(CCCN=C(N)N)C(=O)O	0.378178626	10805443	COCONUT:(CNP0141972);Natural Products:(UNPD27030);PubChem:(10805443)	2129922	318.1553	211.709	1327_6_Brassimet_Leaves_PAXs_33_Pos_6288
10	6	1	2	0.9866472740375448	-607.7247291230835	0.0050251256281407045	47.54063312384398	C24H36N2O9S	[M + H]+	VMSQKUCYEMOKMM	InChI=1S/C24H36N2O9S/c1-13(33-3)17(25-22(31)15-8-6-10-26(15)2)21-19(29)18(28)20(30)24(35-21)36-12-11-34-23(32)14-7-4-5-9-16(14)27/h4-5,7,9,13,15,17-21,24,27-30H,6,8,10-12H2,1-3H3,(H,25,31)	Celesticetin	CC(C(C1C(C(C(C(O1)SCCOC(=O)C2=CC=CC=C2O)O)O)O)NC(=O)C3CCCN3C)OC	1.39999998	21416;220087;5464476;10369659;20054860;92219422;92219423;92219424;92219425;101599975;102060341	COCONUT:(CNP0297137);Natural Products:(UNPD155672 UNPD187325);PubChem:(21416 220087 5464476 10369659 20054860 92219422 92219423 92219424 92219425 101599975 102060341);SuperNatural:(SN00394459 SN00352509);MeSH:(220087 5464476 20054860);PubChem class - safety and toxic;PubMed	70287430	529.2207	171.486	1500_6_Brassimet_Leaves_PAXs_36_Pos_1583
