rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C35H62O5	[M + Na]+	C35H62O5	0.9999999999999999	5025.7767210112925	5025.7767210112925	0.0	38	0.8085470085470085	-1.6698550166763737	3.3587026207312745	4.021198534104336	DG(16:3_16:0)	585.45130	1487.78	798_6_Brassimet_Leaves_PAXs_23_Pos_4642
2	C24H44NO7P	[M + H]+	C24H44NO7P	0.9999999999999999	4037.1009884283403	4037.1009884283403	0.0	19	0.7342888643880927	-6.883253582503977	7.284102877599764	0.5795919000995425	LPC(16:3)	490.29310	924.127	388_6_Brassimet_Leaves_PAXs_15_Pos_3991
3	C19H38O4	[M + Na]+	C19H38O4	0.9999999999999999	3068.0897263952925	3068.0897263952925	0.0	35	0.8218668650055785	-1.030730116509676	2.471901707817522	4.443099284740622	MG(16:0)	353.26780	1346.404	1479_6_Brassimet_Leaves_PAXs_36_Pos_949
4	C23H34NO10P	[M - H]-	C23H34NO10P	0.9999999999999999	1091.425303631114	1091.425303631114	0.0	29	0.6824703680598878	-2.0698197654740094	3.727076464766408	-2.0546468303338434	PS(11:4_6:1)	514.18370	235.808	2242_6_Brassimet_Leaves_PAXs_5_Neg_856
5	C20H32NO10P	[M + H]+	C20H32NO10P	0.9999999999999999	1082.6225751086336	1082.6225751086336	0.0	37	0.7924758420114457	-3.2727999874332863	4.431194664634331	-3.4700304289442285	PS(8:2_6:1)	478.18200	337.507	1610_6_Brassimet_Leaves_PAXs_38_Pos_1905
6	C31H42NO10P	[M + H]+	C31H42NO10P	0.9999999999999999	1068.060184284253	1068.060184284253	0.0	36	0.7449091909741334	-2.7168956560088984	4.891374275511325	-2.111412671664227	PS(8:2_17:7)	620.26060	650.463	2627_6_Brassimet_Leaves_PAXs_9_Pos_3471
7	C28H42O5	[M + Na]+	C28H42O5	0.9999999999999999	1021.421462677724	1021.421462677724	0.0	14	0.23564954682779457	-2.376298622085287	5.110871924118925	-9.65148938013572	DG(16:4_9:2)	481.28780	518.495	529_6_Brassimet_Leaves_PAXs_18_Pos_4213
8	C18H28O3	[M + H]+	C18H28O3	0.9999999999999999	215.2645317667558	215.2645317667558	0.0	51	0.933738696601185	-3.8996041967871724	3.8996041967871724	-0.07233044900331652		293.21110	681.544	1523_6_Brassimet_Leaves_PAXs_37_Pos_1643
9	C14H18O2	[M + H]+	C14H18O2	0.9999999999999999	211.7637815109626	211.7637815109626	0.0	33	0.6821895424836601	-1.1636747393717484	4.072012759363416	-0.7131042227089526		219.13780	460.631	514_6_Brassimet_Leaves_PAXs_18_Pos_4192
10	C12H16O3	[M + H]+	C12H16O3	0.9999999999999999	211.34499093615497	211.34499093615497	0.0	45	0.8968116378985452	-3.2676346648074155	3.2676346648074155	-0.09958095514097237		209.11720	256.814	1860_6_Brassimet_Leaves_PAXs_43_Pos_2357
11	C14H22O3	[M + H]+	C14H22O3	0.9999999999999999	207.0157980801472	207.0157980801472	0.0	28	0.7005409582689337	-1.4960341340789987	6.935757658793086	-3.6419303902976603		239.16330	797.311	489_6_Brassimet_Leaves_PAXs_18_Pos_4163
12	C14H18O2	[M + H]+	C14H18O2	0.9999999999999999	206.66403703417845	206.66403703417845	0.0	49	0.930908065425832	-2.682942113641554	2.9620482712954095	-0.7131042227089526		219.13780	303.194	662_6_Brassimet_Leaves_PAXs_20_Pos_4330
13	C13H20O3	[M + H]+	C13H20O3	0.9999999999999999	205.60066401515232	205.60066401515232	0.0	44	0.9066775963175486	-3.5869264775504863	3.7491059792148107	0.35109216526473247		225.14860	356.926	1475_6_Brassimet_Leaves_PAXs_36_Pos_935
14	C18H26O3	[M + H]+	C18H26O3	0.9999999999999999	201.41286442338927	201.41286442338927	0.0	51	0.926157452627467	-3.018450388012352	3.018450388012352	0.09909462707008872		291.19550	826.014	1047_6_Brassimet_Leaves_PAXs_28_Pos_533
15	C16H24O2	[M + H]+	C16H24O2	0.9999999999999999	201.16937378703	201.16937378703	0.0	48	0.907214103456275	-2.8664964076317525	3.104469163425513	-0.025924887631014994		249.18490	982.103	1486_6_Brassimet_Leaves_PAXs_36_Pos_980
16	C18H26O2	[M + H]+	C18H26O2	0.9999999999999999	199.48672812567497	199.48672812567497	0.0	32	0.6187938288920057	-6.78349973031953	6.78349973031953	0.15797897780284487		275.20060	533.929	1525_6_Brassimet_Leaves_PAXs_37_Pos_1649
17	C18H24O3	[M + H]+	C18H24O3	0.9999999999999999	197.4485785878073	197.4485785878073	0.0	34	0.6255984679221196	-3.9119878483944035	5.956180894122969	-0.0728961376457331		289.17980	733.775	716_6_Brassimet_Leaves_PAXs_21_Pos_4412
18	C16H24O3	[M + H]+	C16H24O3	0.9999999999999999	194.877596890704	194.877596890704	0.0	40	0.816431763492609	-7.105741937076132	7.443572406027923	-0.4565963777772714		265.17970	437.517	1979_6_Brassimet_Leaves_PAXs_45_Pos_2470
19	C18H24O2	[M + H]+	C18H24O2	0.9999999999999999	190.89038583943142	190.89038583943142	0.0	32	0.6335995877351202	-4.645803092626793	6.90714749830839	-0.3896999047354222		273.18480	950.137	2131_6_Brassimet_Leaves_PAXs_48_Pos_2745
20	C15H22O3	[M + H]+	C15H22O3	0.9999999999999999	190.25703664260118	190.25703664260118	0.0	47	0.8860736747529201	-1.9711418018207765	4.018553537962115	0.11539825137331987		251.16420	458.834	291_6_Brassimet_Leaves_PAXs_14_Pos_3877
21	C18H26O3	[M + H]+	C18H26O3	0.9999999999999999	188.88770487958504	188.88770487958504	0.0	50	0.9241716700022237	-3.680657405865656	3.680657405865656	0.09909462707008872		291.19550	475.535	1420_6_Brassimet_Leaves_PAXs_35_Pos_790
22	C16H24O4	[M + H]+	C16H24O4	0.9999999999999999	187.758136804129	187.758136804129	0.0	53	0.960214446952596	-3.821759016347228	4.342302784851246	0.939983673778359		281.17500	293.041	664_6_Brassimet_Leaves_PAXs_20_Pos_4332
23	C16H26O3	[M + H]+	C16H26O3	0.9999999999999999	187.31667585811647	187.31667585811647	0.0	30	0.7002945508100148	-0.7252614390781896	5.43440130590071	0.8565104508928375		267.19570	784.502	2004_6_Brassimet_Leaves_PAXs_46_Pos_2493
24	C16H26O2	[M + Na]+	C16H26O2	0.9999999999999999	185.9212106188309	185.9212106188309	0.0	34	0.623787976729153	-0.5886881122893922	5.088778433948767	8.416383010603523		273.18480	1035.517	127_6_Brassimet_Leaves_PAXs_10_Pos_3610
25	C11H16O3	[M + H]+	C11H16O3	0.9999999999999999	182.09309230694942	182.09309230694942	0.0	42	0.8936373276776247	-4.008494044797817	4.008494044797817	-0.10564319355391487		197.11720	284.954	333_6_Brassimet_Leaves_PAXs_14_Pos_392
26	C18H24O2	[M + H]+	C18H24O2	0.9999999999999999	180.1036654636901	180.1036654636901	0.0	30	0.6084500122819942	-3.764492447256968	6.102634739301186	-0.3896999047354222		273.18480	925.588	963_6_Brassimet_Leaves_PAXs_26_Pos_5061
27	C12H16O3	[M + H]+	C12H16O3	0.9999999999999999	179.64349899276039	179.64349899276039	0.0	30	0.6323073252207105	-3.8168573769802627	6.173010477258902	-0.09958095514097237		209.11720	246.506	1338_6_Brassimet_Leaves_PAXs_33_Pos_6324
28	C16H24O2	[M + H]+	C16H24O2	0.9999999999999999	178.03435133132257	178.03435133132257	0.0	28	0.6780704755388303	-0.4240790300028273	4.704489157034692	-0.4272334850888391		249.18480	1048.47	1943_6_Brassimet_Leaves_PAXs_44_Pos_2437
