id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
880_1_Brassimet_Roots_Neg-POS_PAXs_3_n137	C12H22N4O6S	[M - H]-	Carbohydrates	0.7450060844421387	Small peptides	0.682675838470459	Tripeptides	0.5374060273170471	Gamma-glutamyl peptides	0.5637174248695374	Peptides	0.5063244700431824	Amino acids, peptides, and analogues	0.9586523771286011	Carboxylic acids and derivatives	0.9030193090438843	Organic acids and derivatives	0.9671301245689392	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; N-acyl amines; Carboxylic acids; Monosaccharides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Alpha amino acids; Amines; Primary amines; Gamma-glutamyl peptides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
754_1_Brassimet_Roots_Neg-POS_PAXs_22_p641	C10H15N3	[M + H]+	Alkaloids	0.9952344298362732	Nicotinic acid alkaloids	0.45284420251846313	Pyridine alkaloids	0.4753028154373169	Dialkylarylamines	0.8133280873298645	Tertiary amines	0.8903254270553589	Amines	0.9844078421592712	Organonitrogen compounds	0.9999998807907104	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Aminopyridines and derivatives; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
188_1_Brassimet_Roots_Neg-POS_PAXs_11_p2146	C10H19NO5S	[M + H]+	Amino acids and Peptides	0.7791730165481567	Small peptides	0.659811794757843	Dipeptides	0.4926862418651581	Alpha amino acids and derivatives	0.588301420211792	Amino acids and derivatives	0.6655022501945496	Amino acids, peptides, and analogues	0.6660328507423401	Carboxylic acids and derivatives	0.9993841648101807	Organic acids and derivatives	0.9998181462287903	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
455_1_Brassimet_Roots_Neg-POS_PAXs_17_p1765	C23H38O9	[M + K]+	Polyketides	0.910842776298523	Linear polyketides	0.7352199554443359	Open-chain polyketides	0.701447069644928	Tricarboxylic acids and derivatives	0.6979368329048157			Tricarboxylic acids and derivatives	0.6979368329048157	Carboxylic acids and derivatives	0.999693751335144	Organic acids and derivatives	0.9998908042907715	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
427_1_Brassimet_Roots_Neg-POS_PAXs_16_p824	C10H15N7O6	[M + H]+	Carbohydrates	0.7666051387786865	Nucleosides	0.6728304624557495	Purine nucleos(t)ides	0.6647214889526367	Purine nucleosides	0.910607099533081					Purine nucleosides	0.910607099533081	Nucleosides, nucleotides, and analogues	0.3306986391544342	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Acetals; Secondary alcohols; Imidazopyrimidines; Oxanes; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
352_1_Brassimet_Roots_Neg-POS_PAXs_15_p1951	C12H15N9O5	[M + H]+	Carbohydrates	0.8843677043914795	Nucleosides	0.6673511862754822	Purine nucleos(t)ides	0.8796252012252808	Purine nucleosides	0.9268397688865662					Purine nucleosides	0.9268397688865662	Nucleosides, nucleotides, and analogues	0.8682283759117126	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
165_1_Brassimet_Roots_Neg-POS_PAXs_11_p802	C14H17N6O4PS	[M + Na]+	Alkaloids	0.6545643210411072	Nicotinic acid alkaloids	0.24606719613075256	Purine nucleos(t)ides	0.4139983355998993	Nucleoside and nucleotide analogues	0.6786938309669495					Nucleoside and nucleotide analogues	0.6786938309669495	Nucleosides, nucleotides, and analogues	0.3384501039981842	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Triazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Azoles; Aminopyrimidines and derivatives; Organic thiophosphoric acids and derivatives; Diazines; Triazolopyrimidines; Thiophosphoric acid esters; Imidazopyrimidines; Benzene and substituted derivatives; Amines; Primary amines; 6-aminopurines; Nucleoside and nucleotide analogues; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
720_1_Brassimet_Roots_Neg-POS_PAXs_21_p1561	C18H25NO14	[M + H]+	Shikimates and Phenylpropanoids	0.6275553703308105	Aminosugars and aminoglycosides	0.6090149283409119	Aminosugars	0.15729773044586182	Neuraminic acids	0.696158230304718	Sugar acids and derivatives	0.9216738343238831	Carbohydrates and carbohydrate conjugates	0.9721106290817261	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Carbohydrates and carbohydrate conjugates; Alpha amino acids and derivatives; Pyrans; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Sugar acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Carboxylic acid amides; Salicylic acid and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Neuraminic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; C-glycosyl compounds; Benzene and substituted derivatives; Carboximidic acids and derivatives; Polyols; Benzenoids; C-glucuronides; Neuraminic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
553_1_Brassimet_Roots_Neg-POS_PAXs_19_p2838	C26H46N4O12	[M + Na]+	Carbohydrates	0.3566633462905884	Aminosugars and aminoglycosides	0.21917735040187836	Aminoglycosides	0.4054616391658783	Aminoglycosides	0.6968908905982971	Aminosaccharides	0.5506752133369446	Carbohydrates and carbohydrate conjugates	0.581320583820343	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Organic carbonic acids and derivatives; Alpha amino acid esters; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Cyclitols and derivatives; Cyclohexanols; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
518_1_Brassimet_Roots_Neg-POS_PAXs_18_p2795	C20H17N3O2	[M + H]+	Alkaloids	0.9788588285446167	Tryptophan alkaloids	0.8379291892051697	Simple indole alkaloids	0.6829007267951965	Amino acids and derivatives	0.6248239874839783	Amino acids and derivatives	0.6248239874839783	Amino acids, peptides, and analogues	0.6231352686882019	Carboxylic acids and derivatives	0.9908281564712524	Organic acids and derivatives	0.9971960783004761	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzenoids; Amines; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
