id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
880_1_Brassimet_Roots_Neg-POS_PAXs_3_n137	C13H23N2O7P	[M - H]-	C13H23N2O7P	Alkaloids	0.23188416659832	Nicotinic acid alkaloids	0.5798285603523254	Pyridine alkaloids	0.5792595148086548	Alpha amino acids and derivatives	0.5913105607032776	Amino acids and derivatives	0.7144088745117188	Amino acids, peptides, and analogues	0.7132093906402588	Carboxylic acids and derivatives	0.4815734028816223	Organic acids and derivatives	0.9984666109085083	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carbonyl compounds; Amines; Alkyl phosphates; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
754_1_Brassimet_Roots_Neg-POS_PAXs_22_p641	C10H15N3	[M + H]+	C10H15N3	Alkaloids	0.9952344298362732	Nicotinic acid alkaloids	0.45284420251846313	Pyridine alkaloids	0.4753028154373169	Dialkylarylamines	0.8133280873298645	Tertiary amines	0.8903254270553589	Amines	0.9844078421592712	Organonitrogen compounds	0.9999998807907104	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Aminopyridines and derivatives; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
188_1_Brassimet_Roots_Neg-POS_PAXs_11_p2146	C10H19NO5S	[M + H]+	C10H19NO5S	Amino acids and Peptides	0.7791730165481567	Small peptides	0.659811794757843	Dipeptides	0.4926862418651581	Alpha amino acids and derivatives	0.588301420211792	Amino acids and derivatives	0.6655022501945496	Amino acids, peptides, and analogues	0.6660328507423401	Carboxylic acids and derivatives	0.9993841648101807	Organic acids and derivatives	0.9998181462287903	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
455_1_Brassimet_Roots_Neg-POS_PAXs_17_p1765	C23H38O9	[M + K]+	C23H38O9	Polyketides	0.910842776298523	Linear polyketides	0.7352199554443359	Open-chain polyketides	0.701447069644928	Tricarboxylic acids and derivatives	0.6979368329048157			Tricarboxylic acids and derivatives	0.6979368329048157	Carboxylic acids and derivatives	0.999693751335144	Organic acids and derivatives	0.9998908042907715	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
427_1_Brassimet_Roots_Neg-POS_PAXs_16_p824	C10H15N7O6	[M + H]+	C10H15N7O6	Carbohydrates	0.7666051387786865	Nucleosides	0.6728304624557495	Purine nucleos(t)ides	0.6647214889526367	Purine nucleosides	0.910607099533081					Purine nucleosides	0.910607099533081	Nucleosides, nucleotides, and analogues	0.3306986391544342	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Acetals; Secondary alcohols; Imidazopyrimidines; Oxanes; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
352_1_Brassimet_Roots_Neg-POS_PAXs_15_p1951	C12H15N9O5	[M + H]+	C12H15N9O5	Carbohydrates	0.8843677043914795	Nucleosides	0.6673511862754822	Purine nucleos(t)ides	0.8796252012252808	Purine nucleosides	0.9268397688865662					Purine nucleosides	0.9268397688865662	Nucleosides, nucleotides, and analogues	0.8682283759117126	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
165_1_Brassimet_Roots_Neg-POS_PAXs_11_p802	C14H18N4O7S2	[M + H]+	C14H18N4O7S2	Amino acids and Peptides	0.7044301629066467	β-lactams	0.6209885478019714	Cephalosporins	0.44659727811813354	Beta lactams	0.7298361659049988			Beta lactams	0.7298361659049988	Lactams	0.5826250910758972	Organoheterocyclic compounds	0.999154806137085	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Azetidines; Lactams; Beta lactams; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Carboxylic acid amides; Sulfonyls; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
720_1_Brassimet_Roots_Neg-POS_PAXs_21_p1561	C18H25NO14	[M + H]+	C18H25NO14	Shikimates and Phenylpropanoids	0.6275553703308105	Aminosugars and aminoglycosides	0.6090149283409119	Aminosugars	0.15729773044586182	Neuraminic acids	0.696158230304718	Sugar acids and derivatives	0.9216738343238831	Carbohydrates and carbohydrate conjugates	0.9721106290817261	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Carbohydrates and carbohydrate conjugates; Alpha amino acids and derivatives; Pyrans; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Sugar acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Carboxylic acid amides; Salicylic acid and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Neuraminic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; C-glycosyl compounds; Benzene and substituted derivatives; Carboximidic acids and derivatives; Polyols; Benzenoids; C-glucuronides; Neuraminic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities
553_1_Brassimet_Roots_Neg-POS_PAXs_19_p2838	C28H44N4O12	[M + H]+	C28H44N4O12	Amino acids and Peptides	0.7076442837715149	Oligopeptides	0.19316716492176056	Cyclic peptides	0.11683250963687897	Alpha amino acids and derivatives	0.5664792060852051	Amino acids and derivatives	0.6282934546470642	Amino acids, peptides, and analogues	0.6214282512664795	Carboxylic acids and derivatives	0.990154504776001	Organic acids and derivatives	0.9997913241386414	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Tricarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
518_1_Brassimet_Roots_Neg-POS_PAXs_18_p2795	C20H17N3O2	[M + H]+	C20H17N3O2	Alkaloids	0.9788588285446167	Tryptophan alkaloids	0.8379291892051697	Simple indole alkaloids	0.6829007267951965	Amino acids and derivatives	0.6248239874839783	Amino acids and derivatives	0.6248239874839783	Amino acids, peptides, and analogues	0.6231352686882019	Carboxylic acids and derivatives	0.9908281564712524	Organic acids and derivatives	0.9971960783004761	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzenoids; Amines; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
927_1_Brassimet_Roots_Neg-POS_PAXs_4_n146	C6H4N4O11S4	[M - H]-	C6H4N4O11S4	Amino acids and Peptides	0.7441999912261963	Small peptides	0.7839873433113098	Aminoacids	0.6282190680503845	Organosulfonic acids	0.6835047006607056	Organosulfonic acids	0.6835047006607056	Organosulfonic acids and derivatives	0.6376510262489319	Organic sulfonic acids and derivatives	0.6363890171051025	Organic acids and derivatives	0.9940085411071777	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
134_1_Brassimet_Roots_Neg-POS_PAXs_10_p2263	C16H19NO7S	[M + H]+	C16H19NO7S	Amino acids and Peptides	0.46903184056282043	Amino acid glycosides	0.8140946626663208	Glucosinolates	0.154598206281662	Hexoses	0.934181809425354	Monosaccharides	0.9998751878738403	Carbohydrates and carbohydrate conjugates	0.9997883439064026	Organooxygen compounds	0.9999997615814209	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Thioethers; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Phenol ethers; Benzenoids; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities
561_1_Brassimet_Roots_Neg-POS_PAXs_19_p1779	C23H47N7O5	[M + H]+	C23H47N7O5	Amino acids and Peptides	0.7706377506256104	Small peptides	0.6069008708000183	Tripeptides	0.4956464469432831	Peptides	0.8054420948028564	Peptides	0.8054420948028564	Amino acids, peptides, and analogues	0.9989981055259705	Carboxylic acids and derivatives	0.999148964881897	Organic acids and derivatives	0.9994207620620728	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
736_1_Brassimet_Roots_Neg-POS_PAXs_21_p1400	C17H15NO6	[M + H]+	C17H15NO6	Alkaloids	0.6172962784767151	Tryptophan alkaloids	0.6958521008491516	Quinoline alkaloids	0.053698912262916565	Benzene and substituted derivatives	0.6923760771751404					Benzene and substituted derivatives	0.6923760771751404	Benzenoids	0.9846856594085693	Organic compounds; Organoheterocyclic compounds; Pyrans; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Ketene acetals; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Benzenoids; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous esters; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
261_1_Brassimet_Roots_Neg-POS_PAXs_13_p1361	C18H17NO9	[M + H]+	C18H17NO9	Shikimates and Phenylpropanoids	0.5884891748428345	Coumarins	0.3071102499961853	Simple coumarins	0.2647640109062195	Alpha amino acids and derivatives	0.7636203765869141	Amino acids and derivatives	0.6958870887756348	Amino acids, peptides, and analogues	0.7016871571540833	Carboxylic acids and derivatives	0.9958051443099976	Organic acids and derivatives	0.9984190464019775	Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alpha amino acids and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Nitriles; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities
