rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	2	0.9969579384676672	-41.240164405657964	0.9999999999999999	56.794146250038146	C21H19N3O3	[M + H]+	FOSPCYZZRVNHJS	InChI=1S/C21H19N3O3/c25-20(10-14-12-23-18-8-4-2-6-16(14)18)24-19(21(26)27)9-13-11-22-17-7-3-1-5-15(13)17/h1-8,11-12,19,22-23H,9-10H2,(H,24,25)(H,26,27)	Oprea1_459028	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)CC3=CNC4=CC=CC=C43	2.89444613	644228;4604444;7033653;7033654;7033655	COCONUT:(CNP0001391 CNP0277843);PubChem:(644228 4604444 7033653 7033654 7033655);ZINC bio:(ZINC03070964 ZINC03070965);additional;Plantcyc:(CPD-11230);Training Set;PubMed;Biocyc:(CPD-11230)	2779202	362.15	373.114	210_1_Brassimet_Roots_Neg-POS_PAXs_12_p650
2	1	1	1	0.9889928942570866	-6.852639402033764	0.9999999999999999	49.75309155963987	C14H20N2O3	[M + H]+	SFUVCMKSYKHYLD	InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)	Subaphyllin	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O	1.05422425	10384;5281796;92339985	HMDB:(33463 139553 139638);SuperNatural:(SN00156194 SN00277929);ZINC bio:(ZINC01531868 ZINC08652493);additional;MeSH:(5281796);PubMed;COCONUT:(CNP0104128 CNP0340982);KNApSAcK:(2780);Natural Products:(UNPD219882 UNPD160889);PubChem:(10384 5281796 92339985);CHEBI:(9299);PubChem class - bio and metabolites;KEGG:(C10497);PubChem class - safety and toxic;Training Set	87613822	265.1546	193.395	813_1_Brassimet_Roots_Neg-POS_PAXs_23_p514
3	1	1	1	0.9867768731039083	-13.448213228610944	0.9999999999999999	32.95961047925239	C17H20O11	[M + H]+	KDWWYRPEBULRGU	InChI=1S/C17H20O11/c1-24-14-9(20)6-3-4-8(19)27-13(6)15(25-2)16(14)28-17-12(23)11(22)10(21)7(5-18)26-17/h3-4,7,10-12,17-18,20-23H,5H2,1-2H3	null	COC1=C(C(=C2C(=C1O)C=CC(=O)O2)OC)OC3C(C(C(C(O3)CO)O)O)O	-0.699999988	51136464	COCONUT:(CNP0170379);PubChem:(51136464);SuperNatural:(SN00039051);ZINC bio:(ZINC49180912);additional;Training Set	3694594	401.1081	217.471	964_1_Brassimet_Roots_Neg-POS_PAXs_5_p1620
4	1	1	4	N/A	-277.39252290635727	0.22763819095477383	13.163920748301877	C23H44N6O12	[M - H]-	DXIORKRGAWCDSD	InChI=1S/C23H44N6O12/c24-2-7-13(31)15(33)10(28)21(36-7)40-19-9-4-29-11-16(34)14(32)8(3-25)37-22(11)39-18-6(27)1-5(26)12(30)20(18)41-23(38-9)17(19)35/h5-23,29-35H,1-4,24-28H2	null	C1C(C(C2C(C1N)OC3C(C(C(C(O3)CN)O)O)NCC4C(C(C(O4)O2)O)OC5C(C(C(C(O5)CN)O)O)N)O)N	-8.0	5287961;21158777;44453026	PubChem:(5287961 21158777 44453026);PubMed;PubChem class - bio and metabolites	16777282	595.2903	1160.32	878_1_Brassimet_Roots_Neg-POS_PAXs_3_n948
5	1	1	1	0.9702762406730354	-22.59402048546621	0.9994974874371858	36.7204339863449	C13H15NO5	[M + H]+	PTSRBZOZSRJCKX	InChI=1S/C13H15NO5/c15-11(8-9-4-2-1-3-5-9)14-10(13(18)19)6-7-12(16)17/h1-5,10H,6-8H2,(H,14,15)(H,16,17)(H,18,19)	N-(Phenylacetyl)glutamic acid	C1=CC=C(C=C1)CC(=O)NC(CCC(=O)O)C(=O)O	0.600000024	561868;11579826;19350015;73903962;134067925	COCONUT:(CNP0084102);HMDB:(59772);PubChem:(561868 11579826 19350015 73903962 134067925);CHEBI:(89860);PubMed;KEGG Mine	8592031850	266.1027	258.479	1063_1_Brassimet_Roots_Neg-POS_PAXs_7_p1346
6	1	1	1	0.9646389536435819	-26.18243985818678	0.9999999999999999	109.74402037921912	C10H8O6	[M + H]+	WMAQKVUYHVUULI	InChI=1S/C10H8O6/c1-15-10-6(12)4-2-3-5(11)16-9(4)7(13)8(10)14/h2-3,12-14H,1H3	null	COC1=C(C(=C2C(=C1O)C=CC(=O)O2)O)O	0.800000012	125303145	COCONUT:(CNP0205163);PubChem:(125303145);CHEBI:(142095);KEGG:(C22007);PubMed;Biocyc:(CPD-21614);KEGG Mine	8592034146	225.0395	215.286	955_1_Brassimet_Roots_Neg-POS_PAXs_5_p1271
7	1	1	1	0.9611924174764224	-82.60006161002782	0.9999999999999999	67.98690436152373	C16H23NO5	[M + H]+	HUJXHFRXWWGYQH	InChI=1S/C16H23NO5/c1-17(2,3)8-9-22-15(18)7-6-12-10-13(20-4)16(19)14(11-12)21-5/h6-7,10-11H,8-9H2,1-5H3/p+1	Sinapine	C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC	1.79999995	89287;5280385;53493855;131750864	HMDB:(29379);SuperNatural:(SN00002254);ZINC bio:(ZINC01532786);additional;MeSH:(5280385 131750864);Plantcyc:(O-SINAPOYLCHOLINE);PubMed;COCONUT:(CNP0345063 CNP0416159);KNApSAcK:(2777);Natural Products:(UNPD188130);PubChem:(89287 5280385 53493855 131750864);CHEBI:(16353);PubChem class - bio and metabolites;KEGG:(C00933);Training Set;Biocyc:(O-SINAPOYLCHOLINE)	20638078	310.1651	223.008	984_1_Brassimet_Roots_Neg-POS_PAXs_5_p2399
8	3	1	1	0.951447996869635	-214.96307106946142	0.05025125628140704	34.15621466546841	C23H30O15	[M + H]+	DHUORUYOLBCUGW	InChI=1S/C23H30O15/c1-32-9-5-8-3-4-12(25)37-19(8)21(33-2)20(9)38-23-18(31)16(29)14(27)11(36-23)7-34-22-17(30)15(28)13(26)10(6-24)35-22/h3-5,10-11,13-18,22-24,26-31H,6-7H2,1-2H3	null	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O	-2.5	71665817	COCONUT:(CNP0116635);Natural Products:(UNPD229790);PubChem:(71665817)	2129922	547.1653	674.055	433_1_Brassimet_Roots_Neg-POS_PAXs_16_p2341
9	1	1	1	0.9335661578363467	-83.29965576683968	0.0	31.512016587514402	C28H36N4O4	[M + H]+	AMUAGNPIOKLCDR	InChI=1S/C28H36N4O4/c1-3-11-21-25(33)29-22(12-4-2)26(34)31-24(18-20-15-9-6-10-16-20)28(36)32-23(27(35)30-21)17-19-13-7-5-8-14-19/h5-10,13-16,21-24H,3-4,11-12,17-18H2,1-2H3,(H,29,33)(H,30,35)(H,31,34)(H,32,36)	null	CCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCC)CC2=CC=CC=C2)CC3=CC=CC=C3	3.98173261	""	COCONUT:(CNP0237957);Natural Products:(UNPD182158);SuperNatural:(SN00258170)	3178496	493.2811	1095.617	549_1_Brassimet_Roots_Neg-POS_PAXs_19_p2156
10	1	1	2	N/A	-220.3900350069653	0.2020100502512563	7.085669671332168	C18H13NO4	[M - H]-	WTEARGUOYJFNNG	InChI=1S/C18H13NO4/c1-21-15-5-3-2-4-12(15)10-17-18(20)14-7-6-13(22-9-8-19)11-16(14)23-17/h2-7,10-11H,9H2,1H3	2-[[2-[(2-methoxyphenyl)methylidene]-3-oxo-1-benzofuran-6-yl]oxy]acetonitrile	COC1=CC=CC=C1C=C2C(=O)C3=C(O2)C=C(C=C3)OCC#N	3.29999995	5266362;17594005	COCONUT:(CNP0360131);PubChem:(5266362 17594005);ZINC bio:(ZINC09051804)	2105346	306.0767	468.183	844_1_Brassimet_Roots_Neg-POS_PAXs_3_n376
11	1	1	4	N/A	-378.98042986849015	0.09798994974874373	26.823206512472133	C35H30N2O5	[M + H]+	KGKLFRAJRDJKCD	InChI=1S/C35H30N2O5/c1-37-13-11-22-17-30-31-19-25(22)27(37)15-21-6-9-28(38-2)29(16-21)40-24-7-4-20(5-8-24)14-26-33-23(10-12-36-26)18-32(39-3)34(41-30)35(33)42-31/h4-10,12,16-19,27H,11,13-15H2,1-3H3	null	CN1CCC2=CC3=C4C=C2C1CC5=CC(=C(C=C5)OC)OC6=CC=C(CC7=NC=CC8=CC(=C(O3)C(=C78)O4)OC)C=C6	6.5999999	179594;10053486	COCONUT:(CNP0325036);KNApSAcK:(26071);Natural Products:(UNPD8761);PubChem:(179594 10053486);SuperNatural:(SN00327269)	3178514	559.2285	408.503	277_1_Brassimet_Roots_Neg-POS_PAXs_13_p1982
12	1	1	2	N/A	-177.18129152763177	0.031155778894472366	59.736752917841514	C6H10N4O3	[M + K]+	HSJCLOHBEHHBIO	InChI=1S/C6H10N4O3/c7-5(12)6-8-3-9-10(6)4-13-2-1-11/h3,11H,1-2,4H2,(H2,7,12)	1-Hemtc	C1=NN(C(=N1)C(=O)N)COCCO	-1.60000002	125963	MeSH:(125963);PubChem:(125963);PubMed	70	225.0397	176.921	780_1_Brassimet_Roots_Neg-POS_PAXs_22_p2039
13	1	1	1	0.8833924086029316	-35.90899830211011	0.9999999999999999	78.73766830225485	C15H21NO7	[M + H]+	FAVRCIXPIVJIPN	InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)	null	C1=CC=C(C=C1)CC(C(=O)O)NCC2(C(C(C(O2)CO)O)O)O	-2.70000005	10471647;85152457;101039148	COCONUT:(CNP0288003);HMDB:(37846);PubChem:(10471647 85152457 101039148);CHEBI:(136561);PubChem class - bio and metabolites;Training Set	18890794	328.1392	87.408	164_1_Brassimet_Roots_Neg-POS_PAXs_11_p550
14	3	1	2	N/A	-426.55314755124334	0.04221105527638192	34.4457686654346	C17H21NO7S	[M + Na]+	WXCWXUASWRCLRO	InChI=1S/C17H21NO7S/c1-3-4-5-8-24-13-6-7-15(26(22,23)18-10-16(20)21)12-9-14(11(2)19)25-17(12)13/h6-7,9,18H,3-5,8,10H2,1-2H3,(H,20,21)	N-((2-Acetyl-7-(pentyloxy)-4-benzofuranyl)sulfonyl)glycine	CCCCCOC1=C2C(=C(C=C1)S(=O)(=O)NCC(=O)O)C=C(O2)C(=O)C	2.70000005	3064783	PubChem:(3064783);PubChem class - safety and toxic	67108866	406.0932	445.583	328_1_Brassimet_Roots_Neg-POS_PAXs_14_p861
15	1	1	1	0.8323527436245984	-27.199433450170826	0.21658291457286433	31.936816304825356	C13H10N2O3S	[M + H]+	UVCJGUGAGLDPAA	InChI=1S/C13H10N2O3S/c16-19(17,18)10-6-7-11-12(8-10)15-13(14-11)9-4-2-1-3-5-9/h1-8H,(H,14,15)(H,16,17,18)	Ensulizole	C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O	2.06638265	33919;1712019;3110105;138396074	NORMAN:(NS00010386);COCONUT:(CNP0153263);PubChem:(33919 1712019 3110105 138396074);CHEBI:(135132);additional;MeSH:(33919);PubChem class - safety and toxic;Training Set;PubMed;PubChem class - drug	103563366	275.0488	194.883	816_1_Brassimet_Roots_Neg-POS_PAXs_23_p1377
16	1	1	1	0.8034225102175623	-48.49645474125672	0.9984924623115577	83.22358510334797	C30H32O9	[M + H]+	ZEGGILOUCOCTCV	InChI=1S/C30H32O9/c1-34-24-9-15(4-6-22(24)32)27-20-13-38-28(21(20)14-37-27)17-8-18-19(12-31)29(39-30(18)26(11-17)36-3)16-5-7-23(33)25(10-16)35-2/h4-11,19-21,27-29,31-33H,12-14H2,1-3H3	4-[(3S,3aR,6S,6aR)-6-[(2S,3R)-2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-7-methoxy-2,3-dihydro-1-benzofuran-5-yl]-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2-methoxyphenol	COC1=CC(=CC2=C1OC(C2CO)C3=CC(=C(C=C3)O)OC)C4C5COC(C5CO4)C6=CC(=C(C=C6)O)OC	2.9000001	20056031;73657223	COCONUT:(CNP0303197);Natural Products:(UNPD156638);PubChem:(20056031 73657223);SuperNatural:(SN00329850);MeSH:(73657223);PubMed	3178566	537.2115	714.187	458_1_Brassimet_Roots_Neg-POS_PAXs_17_p712
17	1	1	2	0.7811862191069866	-131.9937831652297	0.6954773869346733	54.25019734314905	C10H18N2O8	[M + H]+	RDVZONQWDDILKB	InChI=1S/C10H18N2O8/c11-3(10(18)19)1-5(14)12-9-8(17)7(16)6(15)4(2-13)20-9/h3-4,6-9,13,15-17H,1-2,11H2,(H,12,14)(H,18,19)	N-Glycosyl-L-asparagine	C(C1C(C(C(C(O1)NC(=O)CC(C(=O)O)N)O)O)O)O	-5.69999981	440002;5199635;5254760;18664940;124351426;132274809	COCONUT:(CNP0315667);KEGG:(C03411);PubChem:(440002 5199635 5254760 18664940 124351426 132274809);SuperNatural:(SN00213184);CHEBI:(7292)	3146018	295.1173	351.317	181_1_Brassimet_Roots_Neg-POS_PAXs_11_p678
18	1	1	1	0.7552530089941578	-147.01995589084862	0.9999999999999999	99.55945360456346	C15H17N3O4	[M + H]+	DVJIJAYHBZALOJ	InChI=1S/C15H17N3O4/c16-13(19)6-5-12(15(21)22)18-14(20)7-9-8-17-11-4-2-1-3-10(9)11/h1-4,8,12,17H,5-7H2,(H2,16,19)(H,18,20)(H,21,22)	3-IAA glutamine	C1=CC=C2C(=C1)C(=CN2)CC(=O)NC(CCC(=O)N)C(=O)O	0.372404218	7097451;7097452;25200878;25200879	COCONUT:(CNP0083478 CNP0267374);HMDB:(13240);PubChem:(7097451 7097452 25200878 25200879);CHEBI:(70811 133730);ZINC bio:(ZINC04090721 ZINC16026413);PubChem class - bio and metabolites;Plantcyc:(131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M INDOLE-3-ACETYL-GLN);Training Set;Biocyc:(INDOLE-3-ACETYL-GLN)	19032106	304.1293	200.366	828_1_Brassimet_Roots_Neg-POS_PAXs_23_p474
19	1	1	1	0.7550732784237991	-2.3310324564121503	0.9999999999999999	45.27016977749822	C18H38O10	[M + H3N + H]+	YZUUTMGDONTGTN	InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2	Epitope ID:159256	C(COCCOCCOCCOCCOCCOCCOCCOCCO)O	-2.29999995	4867	NORMAN:(NS00010525);COCONUT:(CNP0284164);PubChem:(4867);CHEBI:(39784);Maconda:(CON00076);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	8676721762	432.2806	251.307	1044_1_Brassimet_Roots_Neg-POS_PAXs_7_p262
20	2	1	2	N/A	-240.47992177319816	0.9964824120603014	17.79893869403244	C16H17NO7	[M + Na]+	SIXWRBPVFRUCAK	InChI=1S/C16H17NO7/c17-9-3-1-8-6-10(4-2-7(8)5-9)23-16-13(20)11(18)12(19)14(24-16)15(21)22/h1-6,11-14,16,18-20H,17H2,(H,21,22)	null	C1=CC2=C(C=CC(=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O)C=C1N	-0.0177659504	""	COCONUT:(CNP0217795);Natural Products:(UNPD34690);SuperNatural:(SN00260538)	3178496	358.0899	414.152	289_1_Brassimet_Roots_Neg-POS_PAXs_13_p717
21	1	1	1	0.7428230160375461	-53.657402803339615	0.9994974874371858	10.806038756483122	C14H24O6	[M - H]-	FIDISSFBBFUTOK	InChI=1S/C14H24O6/c1-9(11(15)7-13(17)18)5-3-4-6-10(2)12(16)8-14(19)20/h3-4,9-12,15-16H,5-8H2,1-2H3,(H,17,18)(H,19,20)	null	CC(CC=CCC(C)C(CC(=O)O)O)C(CC(=O)O)O	0.800000012	125416630;125416631;125416632;125416633;129008872	COCONUT:(CNP0108482);Training Set;PubChem:(125416630 125416631 125416632 125416633 129008872)	2113538	287.1501	254.109	66_1_Brassimet_Roots_Neg-POS_PAXs_1_n842
22	1	1	1	0.7417156325383842	-41.41755354340278	0.9999999999999999	44.2262529582691	C8H15NOS	[M + H]+	MVGLREOVTAENKK	InChI=1S/C8H15NOS/c1-11(10)8-6-4-2-3-5-7-9/h2-6,8H2,1H3	Heptanenitrile, 7-(methylsulfinyl)-	CS(=O)CCCCCCC#N	0.600000024	14844938	COCONUT:(CNP0142194);Natural Products:(UNPD26106);PubChem:(14844938)	2129922	174.0942	227.86	996_1_Brassimet_Roots_Neg-POS_PAXs_6_p2102
23	1	1	3	N/A	-333.82623200195474	0.8839195979899499	71.48985558938605	C20H27NO6	[M + H]+	VWAPAZBPOSWCSD	InChI=1S/C20H27NO6/c1-22-15-7-13(8-16(23-2)19(15)26-5)11-21-12-14-9-17(24-3)20(27-6)18(10-14)25-4/h7-10,21H,11-12H2,1-6H3	bis[(3,4,5-trimethoxyphenyl)methyl]azanium	COC1=CC(=CC(=C1OC)OC)CNCC2=CC(=C(C(=C2)OC)OC)OC	2.5999999	37063;6993826	PubChem:(37063 6993826);PubChem class - safety and toxic	67108866	378.1914	409.504	280_1_Brassimet_Roots_Neg-POS_PAXs_13_p2187
24	1	1	4	N/A	-251.02848896444564	0.20150753768844223	17.5324612638806	C26H29N3O3	[M + Na]+	ZRCMGZIIVNVXJQ	InChI=1S/C26H29N3O3/c1-31-24-13-12-22(18-25(24)32-2)27-26(30)21-10-8-20(9-11-21)19-28-14-16-29(17-15-28)23-6-4-3-5-7-23/h3-13,18H,14-17,19H2,1-2H3,(H,27,30)	Oprea1_247741	COC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C4=CC=CC=C4)OC	4.0999999	1363715	PubChem:(1363715);PubMed;CHEBI:(116653)	98	454.2073	110.185	548_1_Brassimet_Roots_Neg-POS_PAXs_19_p1691
25	1	1	1	0.7193454798993997	-12.444715146486779	0.9999999999999999	27.74832862350697	C9H17NO5	[M - H]-	GHOKWGTUZJEAQD	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	vitamin B5	CC(C)(CO)C(C(=O)NCCC(=O)O)O	-1.10000002	988;6613;167945;5748353;5191579;6997253;57074123;71310749;90479988;101257666;133686971	HMDB:(210);PubChem class - food;SuperNatural:(SN00159658 SN00024327 SN00251994);ZINC bio:(ZINC05356858 ZINC18279942 ZINC19203125);additional;HSDB:(79-83-4);MeSH:(6613);Plantcyc:(PANTOTHENATE);PubMed;NORMAN:(NS00013937);COCONUT:(CNP0086464 CNP0153142);KNApSAcK:(1550);Natural Products:(UNPD178642 UNPD29488 UNPD209188);PubChem:(988 6613 167945 5748353 5191579 6997253 57074123 71310749 90479988 101257666 133686971);CHEBI:(29032 46905 7916 16454);PubChem class - bio and metabolites;KEGG:(C00864);PubChem class - safety and toxic;YMDB:(203);Training Set;PubChem class - drug;Biocyc:(CPD3DJ-34313 PANTOTHENATE SMA-0000145)	255847294	218.1036	111.332	914_1_Brassimet_Roots_Neg-POS_PAXs_4_n161
26	1	1	2	N/A	-339.6871934514804	0.4206030150753769	66.81151609946632	C12H24N4O5S2	[M + K]+	OFSWUTIZRAMAAP	InChI=1S/C12H24N4O5S2/c1-3-5-7-22(18,19)15-9-16(23(20,21)8-6-4-2)11-10(15)13-12(17)14-11/h10-11H,3-9H2,1-2H3,(H2,13,14,17)	Ambcb5475842	CCCCS(=O)(=O)N1CN(C2C1NC(=O)N2)S(=O)(=O)CCCC	0.400000006	2847991	PubChem:(2847991);PubMed;CHEBI:(121645)	98	407.0855	73.801	1127_1_Brassimet_Roots_Neg-POS_PAXs_8_p866
27	1	1	1	0.6997061327614083	-109.70596153707723	0.9999999999999999	126.22901458222404	C13H12N2O3	[M + H]+	LKXSRSCRPXSKJV	InChI=1S/C13H12N2O3/c1-17-10-5-8-7-3-4-14-13(16)12(7)15-9(8)6-11(10)18-2/h3-6,15H,1-2H3,(H,14,16)	null	COC1=C(C=C2C(=C1)C3=C(N2)C(=O)NC=C3)OC	1.70000005	46872927	COCONUT:(CNP0306336);Natural Products:(UNPD63537);PubChem:(46872927);SuperNatural:(SN00339191);MeSH:(46872927);PubMed	3178566	245.0926	197.117	820_1_Brassimet_Roots_Neg-POS_PAXs_23_p2513
28	2	1	2	N/A	-295.2789760738098	0.16683417085427138	66.7212689715557	C10H18N4O2S	[M + H]+	KOZWHQPRAOJMBN	InChI=1S/C10H18N4O2S/c11-14-8(15)4-2-1-3-7-9-6(5-17-7)12-10(16)13-9/h6-7,9H,1-5,11H2,(H,14,15)(H2,12,13,16)	Probes2_000011	C1C2C(C(S1)CCCCC(=O)NN)NC(=O)N2	-0.699999988	83872;2832898;7005109;7072636;7072637;7072638;7269321;7269322;7269323;6611014;13008879;43835042;59079191	COCONUT:(CNP0311397);PubChem:(83872 2832898 7005109 7072636 7072637 7072638 7269321 7269322 7269323 6611014 13008879 43835042 59079191);SuperNatural:(SN00066080);ZINC bio:(ZINC04015355);PubChem class - bio and metabolites;MeSH:(83872);PubChem class - safety and toxic;Training Set;PubMed	87056454	259.1226	421.863	298_1_Brassimet_Roots_Neg-POS_PAXs_14_p1909
29	1	1	1	0.6807436804489315	-42.55280401421267	0.9999999999999999	72.65245242509874	C11H8N2O	[M + H]+	MOBUAKGGKVGTIE	InChI=1S/C11H8N2O/c1-14-10-4-5-11-8(6-10)2-3-9(7-12)13-11/h2-6H,1H3	6-Methoxyquinaldonitrile	COC1=CC2=C(C=C1)N=C(C=C2)C#N	1.93934381	230481	PubChem class - safety and toxic;PubChem:(230481);PubMed	67108930	185.0709	432.567	309_1_Brassimet_Roots_Neg-POS_PAXs_14_p666
