rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C26H48NO7P	[M + CH2O2 - H]-	C27H50NO9P	0.9999999999999999	6021.282989909969	6021.282989909969	0.0	10	0.6126360987578594	-2.1225354150614146	4.254099031057453	1.169524682617012	LPC(18:3)	562.31570	1046.933	870_1_Brassimet_Roots_Neg-POS_PAXs_3_n649
2	C29H48O4	[M + Na]+	C29H48O4	0.9999999999999999	3095.9371263146527	3095.9371263146527	0.0	47	0.8520693512304252	4.042724179509113	5.4641969818269525	3.7639346974819183	MG(26:5)	483.34630	1472.342	646_1_Brassimet_Roots_Neg-POS_PAXs_20_p467
3	C18H28O3	[M + H]+	C18H28O3	0.9999999999999999	202.22625755918057	202.22625755918057	0.0	51	0.9293304994686501	-1.7299582069250068	2.2859953190684044	0.26872066795533395		293.21120	681.264	437_1_Brassimet_Roots_Neg-POS_PAXs_16_p127
4	C16H24O3	[M + H]+	C16H24O3	0.9999999999999999	184.40985388596025	184.40985388596025	0.0	31	0.6514263384134427	-0.7734241142119218	5.672493280497048	0.2976089419663119		265.17990	335.763	152_1_Brassimet_Roots_Neg-POS_PAXs_11_p1515
5	C18H28O3	[M + H]+	C18H28O3	0.9999999999999999	177.9762827422004	177.9762827422004	0.0	30	0.5822087579179289	-1.396512153415185	5.825314066785352	-0.07233044900331652		293.21110	910.346	527_1_Brassimet_Roots_Neg-POS_PAXs_18_p829
6	C16H24O4	[M + H]+	C16H24O4	0.9999999999999999	176.41244260019627	176.41244260019627	0.0	47	0.9056959637872504	-0.9925118000302998	4.196818213918731	0.22868304509504692		281.17480	209.605	949_1_Brassimet_Roots_Neg-POS_PAXs_5_p424
7	C10H8O5	[M + H]+	C10H8O5	0.9999999999999999	167.4417175446023	167.4417175446023	0.0	29	0.39415867480383615	-3.487743327679251	3.6093926137267163	0.24010155483732215		209.04450	78.012	114_1_Brassimet_Roots_Neg-POS_PAXs_10_p2805
8	C11H10O5	[M + H]+	C11H10O5	0.9999999999999999	162.93866537624942	162.93866537624942	0.0	44	0.8699202078307665	-4.97007172680731	5.850479562459181	0.44888290018015714		223.06020	270.79	1088_1_Brassimet_Roots_Neg-POS_PAXs_8_p2721
9	C13H23NO2	[M + H]+	C13H23NO2	0.9999999999999999	159.4682070495264	159.4682070495264	0.0	41	0.9467021985343104	-4.919195877461593	4.919195877461593	0.19706371063491812		226.18020	701.39	448_1_Brassimet_Roots_Neg-POS_PAXs_17_p464
10	C14H22O4	[M + H]+	C14H22O4	0.9999999999999999	157.52968242550722	157.52968242550722	0.0	42	0.9211555443421219	-4.507220032718441	4.507220032718441	0.44820609823488694		255.15920	826.41	505_1_Brassimet_Roots_Neg-POS_PAXs_18_p502
